"","height","lenght","area","eccen","p_black","p_and","mean_tr","blackpix","blackand","wb_trans","Output"
"1",5,7,35,1.4,0.4,0.657,2.33,14,23,6,"1"
"2",6,7,42,1.167,0.429,0.881,3.6,18,37,5,"1"
"3",6,18,108,3,0.287,0.741,4.43,31,80,7,"1"
"4",5,7,35,1.4,0.371,0.743,4.33,13,26,3,"1"
"5",6,3,18,0.5,0.5,0.944,2.25,9,17,4,"1"
"6",5,8,40,1.6,0.55,1,2.44,22,40,9,"1"
"7",6,4,24,0.667,0.417,0.708,2.5,10,17,4,"1"
"8",5,6,30,1.2,0.333,0.333,10,10,10,1,"1"
"9",5,5,25,1,0.4,0.52,10,10,13,1,"1"
"10",5,7,35,1.4,0.486,0.914,8.5,17,32,2,"1"
"11",5,2,10,0.4,0.8,1,8,8,10,1,"1"
"12",5,3,15,0.6,0.533,0.733,8,8,11,1,"1"
"13",5,6,30,1.2,0.433,0.733,13,13,22,1,"1"
"14",5,7,35,1.4,0.429,0.857,5,15,30,3,"1"
"15",6,7,42,1.167,0.405,0.881,4.25,17,37,4,"1"
"16",5,8,40,1.6,0.375,0.475,15,15,19,1,"1"
"17",6,7,42,1.167,0.405,0.952,4.25,17,40,4,"1"
"18",5,19,95,3.8,0.232,0.4,5.5,22,38,4,"1"
"19",5,5,25,1,0.4,0.56,5,10,14,2,"1"
"20",4,6,24,1.5,0.417,0.5,10,10,12,1,"1"
"21",4,6,24,1.5,0.458,0.792,5.5,11,19,2,"1"
"22",4,18,72,4.5,0.25,0.528,2.57,18,38,7,"1"
"23",6,7,42,1.167,0.357,0.548,7.5,15,23,2,"1"
"24",5,7,35,1.4,0.429,0.886,2.5,15,31,6,"1"
"25",5,4,20,0.8,0.5,0.8,10,10,16,1,"1"
"26",13,25,325,1.923,0.234,0.286,10.86,76,93,7,"1"
"27",13,25,325,1.923,0.351,0.68,6,114,221,19,"1"
"28",7,16,112,2.286,0.321,0.643,2.57,36,72,14,"1"
"29",7,103,721,14.714,0.295,0.691,1.76,213,498,121,"1"
"30",11,9,99,0.818,0.343,0.626,3.4,34,62,10,"1"
"31",11,8,88,0.727,0.58,1,5.1,51,88,10,"1"
"32",11,8,88,0.727,0.409,0.477,36,36,42,1,"1"
"33",11,8,88,0.727,0.602,1,5.89,53,88,9,"1"
"34",11,35,385,3.182,0.382,0.657,6.13,147,253,24,"1"
"35",3,113,339,37.667,0.41,0.472,13.9,139,160,10,"2"
"36",3,59,177,19.667,0.475,0.475,84,84,84,1,"2"
"37",2,20,40,10,0.675,0.675,27,27,27,1,"2"
"38",2,101,202,50.5,0.54,0.743,10.9,109,150,10,"2"
"39",10,38,380,3.8,0.426,0.947,3.12,162,360,52,"1"
"40",9,21,189,2.333,0.429,0.772,3,81,146,27,"1"
"41",9,37,333,4.111,0.532,0.913,3.22,177,304,55,"1"
