"word_freq_make","word_freq_address","word_freq_all","word_freq_3d","word_freq_over","word_freq_internet","word_freq_order","word_freq_mail","word_freq_receive","word_freq_will","word_freq_people","word_freq_report","word_freq_addresses","word_freq_business","word_freq_email","word_freq_you","word_freq_credit","word_freq_font","word_freq_money","word_freq_george","word_freq_650","word_freq_lab","word_freq_labs","word_freq_telnet","word_freq_857","word_freq_data","word_freq_415","word_freq_85","word_freq_technology","word_freq_1999","word_freq_parts","word_freq_pm","word_freq_direct","word_freq_cs","word_freq_meeting","word_freq_original","word_freq_project","word_freq_re","word_freq_table","word_freq_conference","char_freq_.","char_freq_..1","char_freq_..2","char_freq_..5","Output"
0,0.64,0.64,0,0,0,0,0,0,0.64,0,0,0,0,1.29,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0.21,0.28,0.5,0,0.28,0.07,0,0.94,0.21,0.79,0.65,0.21,0.14,0.07,0.28,3.47,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0.048,"1"
0.06,0,0.71,0,0.19,0.12,0.64,0.25,0.38,0.45,0.12,0,1.75,0.06,1.03,1.36,0.32,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.12,0,0.06,0,0,0.01,0.143,0,0.01,"1"
0,0,0,0,0,0.63,0.31,0.63,0.31,0.31,0.31,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,"1"
0,0,0,0,0,0.63,0.31,0.63,0.31,0.31,0.31,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,"1"
0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,"1"
0,0,0,0,0,0,0,0.64,0.96,1.28,0,0,0,0,0.32,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,"1"
0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,"1"
0.15,0,0.46,0,0,0,0.92,0.76,0.76,0.92,0,0,0,0,0.15,1.23,3.53,0,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.271,0,0.022,"1"
0.06,0.12,0.77,0,0.32,0,0.06,0,0,0.64,0.25,0,0.12,0,0.12,1.67,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.04,0.03,0,0,"1"
0,0,0,0,0,0,0,1.92,0.96,0,0,0,0,0,0.96,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0.25,0,0.25,0,0,0,0.12,0.12,0.12,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,0,0,"1"
0,0.69,0.34,0,0,0,0,0,0,0.69,0,0,0,0,1.39,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,"1"
0,0,0,0,0,0,0,0.9,0.9,0,0.9,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,1.42,0,0.35,0.35,0,0.71,0,0.35,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,"1"
0,0.42,0.42,0,0,0,0,1.27,0,0,0,0,0,0,0,1.7,0.42,0,0.42,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0.42,0,0,0,0,0,0,0,0,0.063,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0.55,0,0,0,0,0,0,0,0.92,0,0.18,0.37,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,"1"
0,0.63,0,0,0.31,0,0.31,0,0,0.63,0,0,1.27,0.31,3.18,2.22,0,0,0.63,0,0.31,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0.275,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,"1"
0.05,0.07,0.1,0,0.05,0.02,0.55,0,0.1,0.47,0.02,0,0,0.02,0.13,2.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0.042,0.101,0.016,0.059,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,0,"1"
0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,1.16,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.196,0,0,"1"
0.05,0.07,0.1,0,0.05,0.02,0.55,0,0.1,0.47,0.02,0,0,0.02,0.13,2.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0.042,0.101,0.016,0.059,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.196,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,"1"
0,0,0,0,0,0,0,0,0.65,0.65,0,0,0,1.3,0,1.3,5.22,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,"1"
1.17,0,0,0,0,0,0,0,0,1.17,0,0,0,1.17,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,"1"
0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,"1"
0,0,0,0,0.27,0,0,0,0,0.81,0,0,0,0,0,3.51,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0.68,0,0,0,0,0,0.68,1.36,0,0,0,0,0,0,2.04,0,0,0,0,0.68,0,0,1.36,0,0,0,0.68,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,"1"
0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,0,"1"
0,0,0.48,0,0,0,0,0,0,0.97,0,0,0,0.97,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0.081,0,0,"1"
0,0.48,0.48,0,0,0,0,0,0,0.97,0,0,0,0,0.97,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,"1"
0,0.41,1.66,0,0,0,0,0,0,0.41,0,0,0,0,0.83,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.068,0,0,"1"
0.3,0,0,0,0.92,2.45,0,0,0,0.3,1.53,0,0,0,0.3,2.76,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,0,"1"
0,0,0.55,0,0,0,0,0,0,0.18,0.92,0,0.18,0.37,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,"1"
0,0,0,0,0,0.52,0,0.26,0.26,0.52,0,0,0,1.56,0.26,1.82,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.147,"1"
0.15,0.45,1.05,0,0,1.81,0.6,0.75,0,0.9,0.3,0,0.3,0,0,4.07,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.25,0,0,"1"
0.18,0,0.18,0,0.36,0.06,0.06,0.12,0.06,0.54,0.3,0.06,0,0.72,0.06,4.54,0.24,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0.01,0.052,0,0,"1"
0.49,0,0.99,0,0.99,0,0,0.99,0.99,2.48,0.49,0,0,0.99,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,"1"
0.46,0.3,0.46,0,0.12,0.28,0.43,0.74,0.25,0.97,0.56,1.23,0,0.43,0.02,3.22,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.065,0,0.153,"1"
0.46,0.46,0.26,0,0.33,0.33,0,1.12,0.39,0.73,0.79,0,0.26,0,0.26,3.51,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.084,0,0.084,"1"
0,1.92,0,0,0,0,0,0,0,1.92,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0.73,0.36,1.09,0,0.73,1.09,0.36,0.36,0,0.36,0,0,0,0.36,0.36,2.19,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,"1"
0.06,0.12,0.77,0,0.32,0,0.06,0,0,0.64,0.25,0,0.12,0,0.12,1.67,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.04,0.03,0,0,"1"
0,1.26,0,0,1.26,0,0,0,0,1.26,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0.198,0,0,"1"
0.73,0.36,0.73,0,0.73,1.1,0.36,0.36,0,0.36,0,0,0,0.36,0.36,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0,0,0,0,0,0,0,1.04,0,0,0,1.04,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.246,0,0.061,"1"
0,0,1.26,0,0,0,0,0,0,2.53,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0.45,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0.91,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0.42,1.68,0,0,0,0,0,0,0.42,0,0,0,0,0.84,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0.066,0,0,"1"
0,0.59,0,0,0,0,0,0.59,0,0.59,0,0,0,0,1.18,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,"1"
0.23,0,0.47,0,0,0,0,0,0,0,0,0.23,0,0.23,0,7.1,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0.043,0.043,0,0,"1"
0,0,0.46,0,0,0.93,0,0,0.46,0.93,0,0,0,0,0.46,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.069,0,0,0.069,"1"
0,0.34,0,0,0,0,0,0.34,0.34,0,0,0,0,0,1.36,3.42,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0.12,0.24,0.12,0,0.36,0.36,0,0,0.36,0.72,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.12,0,0,0.12,0,0,0,0,0,0,0,0,0.059,0,0,"1"
0.66,0,0.66,0,0,0,0,0.66,0,0,0,0,0,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0.48,0.48,0,0,0,0,0.97,0.48,0,0,0,0,0,0,0.97,0.48,0,0.48,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0.48,0,0,0,0,0,0,0,0,0.073,0,0,"1"
0,0,0,0,0,0,0,1.47,0,1.47,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0.3,0,0.61,0,0,0,0,0.92,0.3,0.92,0.3,0.3,0,0.61,0,5.53,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0,0.25,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,"1"
0,0,0,0,0,1.26,1.26,1.26,1.26,1.26,0,0,0,5.06,0,2.53,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0.53,0.53,0,0,0,0,0,0,0.53,0,0,0,0,1.06,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,"1"
0,0.44,0.89,0,0,0,0,0,0,0.44,0,0,0,0,0.89,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.073,0,0,"1"
0,0.46,0.46,0,0.46,0,0,0,0.46,0.46,0,0,0,0,0.92,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.46,0,0,0,0,0,0,"1"
0,0,0.48,0,0,0,0,0,0,0.96,0,0,0,0.96,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0.081,0,0,"1"
0,0.94,0.94,0,0,0,0,0.94,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,1.77,0,0,0,0,0,0,0.59,0,0,0,0,0.59,4.14,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,"1"
0.75,0.18,0.37,0,0.12,0.25,0.75,0.31,0.25,1.51,0.31,0.37,0,0.44,0.12,2.96,0.69,0,0.75,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.12,0,0,0.06,0,0,0,0,0,0.085,0.053,0.064,"1"
0,0.41,0.2,0,0.2,0,0,1.04,0.2,0,0.2,0,0,0.2,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.2,0,0,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
0,0,0.23,0,0,0,0,0.95,0,0.47,0,0.23,0,0.95,0,2.38,0,0,0.47,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0.024,"1"
0,0.72,0.72,0,0,1.45,0,0,0.72,0,0,0,0,0,0.72,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,"1"
0,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,"1"
0,0.46,0.46,0,0,1.86,0,0.93,0.46,0,0,0,0,0,0,0.93,0.46,0,0.46,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0.46,0,0,0,0,0,0,0,0,0.071,0,0,"1"
0,0,0.38,0,0.76,0,0,0,0,0.38,0.38,0,0,0,0.38,2.69,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,"1"
0,0.79,0,0,0,0,0,0,0,0,0,0,0,1.58,1.58,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0.268,0,0,"1"
0.06,0.06,0.47,0,0,0,0.67,0.06,0,0.33,0.13,0,0,0,0,1.14,0.13,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.06,0,0,0.021,0.107,0,0.01,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,0,0,"1"
0,0.56,1.12,0,0,0,0,0,0,0.56,0.56,0,0,2.8,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,"1"
0.47,0.31,0.47,0,0.13,0.26,0.44,0.76,0.26,0.97,0.58,1.26,0,0.44,0,3.25,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.004,0.066,0,0.159,"1"
0.59,0.44,0.29,0,0.03,0.14,0.56,0.67,0.29,0.67,0.59,1.23,0.03,0.44,0.07,3.43,0,0,0.63,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.075,0,0.137,"1"
0.59,0.44,0.29,0,0.03,0.14,0.56,0.67,0.29,0.67,0.59,1.23,0.03,0.44,0.07,3.43,0,0,0.63,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.075,0,0.137,"1"
0.46,0,0.46,0,0,0.46,0,0,0,1.38,0,0,2.31,0.46,0.46,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0.494,0,0,"1"
0,0,0.46,0,0,0,0,0,0.46,0,0,0,0,0,1.4,1.87,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,"1"
0,0.35,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0.7,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0.122,0,0,"1"
